Contest Year,R/O,Country,Artist,Song,Language,Points,Place
1988,5,Turkey,MFÖ,"""Sufi""",Turkish,37,15
1988,6,Spain,La Década,"""La chica que yo quiero (Made in Spain)""",Spanish,58,11
1988,7,Netherlands,Gerard Joling,"""Shangri-La""",Dutch,70,9
1988,8,Israel,Yardena Arazi,"""Ben Adam"" (בן אדם)",Hebrew,85,7
1988,9,Switzerland,Céline Dion,"""Ne partez pas sans moi""",French,137,1
1988,10,Ireland,Jump the Gun,"""Take Him Home""",English,79,8
1988,11,Germany,Maxi and Chris Garden,"""Lied für einen Freund""",German,48,14
1988,12,Austria,Wilfried,"""Lisa Mona Lisa""",German,0,21
1988,13,Denmark,Hot Eyes,"""Ka' du se hva' jeg sa'?""",Danish,92,3
1988,14,Greece,Afroditi Frida,"""Clown"" (Κλόουν)",Greek,10,17
1988,15,Norway,Karoline Krüger,"""For vår jord""",Norwegian,88,5
1988,16,Belgium,Reynaert,"""Laissez briller le soleil""",French,5,18
1988,17,Luxembourg,Lara Fabian,"""Croire""",French,90,4
1988,18,Italy,Luca Barbarossa,"""Vivo (Ti scrivo)""",Italian,52,12
1988,19,France,Gérard Lenorman,"""Chanteur de charme""",French,64,10
1988,20,Portugal,Dora,"""Voltarei""",Portuguese,5,18
1988,21,Yugoslavia,Srebrna krila,"""Mangup"" (Мангуп)",Serbo-Croatian,87,6
1989,1,Italy,Anna Oxa and Fausto Leali,"""Avrei voluto""",Italian,56,9
1989,2,Israel,Gili and Galit,"""Derekh Hamelekh"" (דרך המלך)",Hebrew,50,12
1989,3,Ireland,Kiev Connolly and the Missing Passengers,"""The Real Me""",English,21,18
1989,4,Netherlands,Justine Pelmelay,"""Blijf zoals je bent""",Dutch,45,15
1989,5,Turkey,Pan,"""Bana Bana""",Turkish,5,21
1989,6,Belgium,Ingeborg,"""Door de wind""",Dutch,13,19
1989,7,United Kingdom,Live Report,"""Why Do I Always Get It Wrong""",English,130,2
1989,8,Norway,Britt Synnøve Johansen,"""Venners nærhet""",Norwegian,30,17
1989,9,Portugal,Da Vinci,"""Conquistador""",Portuguese,39,16
1989,10,Sweden,Tommy Nilsson,"""En dag""",Swedish,110,4
1989,11,Luxembourg,Park Café,"""Monsieur""",French,8,20
1989,12,Denmark,Birthe Kjær,"""Vi maler byen rød""",Danish,111,3
1989,13,Austria,Thomas Forstner,"""Nur ein Lied""",German,97,5
1989,14,Finland,Anneli Saaristo,"""La dolce vita""",Finnish,76,7
1989,15,France,Nathalie Pâque,"""J'ai volé la vie""",French,60,8
1989,16,Spain,Nina,"""Nacida para amar""",Spanish,88,6
1989,17,Cyprus,Fani Polymeri and Yiannis Savvidakis,"""Apopse as vrethoume"" (Απόψε ας βρεθούμε)",Greek,51,11
1989,18,Switzerland,Furbaz,"""Viver senza tei""",Romansh,47,13
1989,19,Greece,Marianna,"""To diko sou asteri"" (Το δικό σου αστέρι)",Greek,56,9
1989,20,Iceland,Daníel Ágúst Haraldsson,"""Það sem enginn sér""",Icelandic,0,22
1989,21,Germany,Nino de Angelo,"""Flieger""",German,46,14
1989,22,Yugoslavia,Riva,"""Rock Me""",Serbo-Croatian,137,1
1990,1,Spain,Azúcar Moreno,"""Bandido""",Spanish,96,5
1990,2,Greece,Christos Callow and Wave,"""Horis skopo"" (Χωρίς σκοπό)",Greek,11,19
1990,3,Belgium,Philippe Lafontaine,"""Macédomienne""",French,46,12
1990,4,Turkey,Kayahan,"""Gözlerinin Hapsindeyim""",Turkish,21,17
1990,5,Netherlands,Maywood,"""Ik wil alles met je delen""",Dutch,25,15
1990,6,Luxembourg,Céline Carzo,"""Quand je te rêve""",French,38,13
1990,7,United Kingdom,Emma,"""Give a Little Love Back to the World""",English,87,6
1990,8,Iceland,Stjórnin,"""Eitt lag enn""",Icelandic,124,4
1990,9,Norway,Ketil Stokkan,"""Brandenburger Tor""",Norwegian,8,21
1990,10,Israel,Rita,"""Shara Barkhovot"" (שרה ברחובות)",Hebrew,16,18
1990,11,Denmark,Lonnie Devantier,"""Hallo Hallo""",Danish,64,8
1990,12,Switzerland,Egon Egemann,"""Musik klingt in die Welt hinaus""",German,51,11
1990,13,Germany,Chris Kempers and Daniel Kovac,"""Frei zu leben""",German,60,9
1990,14,France,Joëlle Ursull,"""White and Black Blues""",French,132,2
1990,15,Yugoslavia,Tajči,"""Hajde da ludujemo"" (Хајде да лудујемо)",Serbo-Croatian,81,7
1990,16,Portugal,Nucha,"""Há sempre alguém""",Portuguese,9,20
1990,17,Ireland,Liam Reilly,"""Somewhere in Europe""",English,132,2
1990,18,Sweden,Edin-Ådahl,"""Som en vind""",Swedish,24,16
1990,19,Italy,Toto Cutugno,"""Insieme: 1992""",Italian,149,1
1990,20,Austria,Simone,"""Keine Mauern mehr""",German,58,10
1990,21,Cyprus,Haris Anastasiou,"""Milas poli"" (Μιλάς πολύ)",Greek,36,14
1990,22,Finland,Beat,"""Fri?""",Swedish,8,21
1991,1,Yugoslavia,Baby Doll,"""Brazil"" (Бразил)",Serbo-Croatian,1,21
1991,2,Iceland,Stefán and Eyfi,"""Nína""",Icelandic,26,15
1991,3,Malta,Paul Giordimaina and Georgina,"""Could It Be""",English,106,6
1991,4,Greece,Sophia Vossou,"""I anixi"" (Η άνοιξη)",Greek,36,13
1991,5,Switzerland,Sandra Simó,"""Canzone per te""",Italian,118,5
1991,6,Austria,Thomas Forstner,"""Venedig im Regen""",German,0,22
1991,7,Luxembourg,Sarah Bray,"""Un baiser volé""",French,29,14
1991,8,Sweden,Carola,"""Fångad av en stormvind""",Swedish,146,1
1991,9,France,Amina,"""C'est le dernier qui a parlé qui a raison""",French,146,2
1991,10,Turkey,"İzel Çeliköz, Reyhan Karaca and Can Uğurluer","""İki Dakika""",Turkish,44,12
1991,11,Ireland,Kim Jackson,"""Could It Be That I'm in Love""",English,47,10
1991,12,Portugal,Dulce,"""Lusitana paixão""",Portuguese,62,8
1991,13,Denmark,Anders Frandsen,"""Lige der hvor hjertet slår""",Danish,8,19
1991,14,Norway,Just 4 Fun,"""Mrs. Thompson""",Norwegian,14,17
1991,15,Israel,Duo Datz,"""Kan"" (כאן)",Hebrew,139,3
1991,16,Finland,Kaija,"""Hullu yö""",Finnish,6,20
1991,17,Germany,Atlantis 2000,"""Dieser Traum darf niemals sterben""",German,10,18
1991,18,Belgium,Clouseau,"""Geef het op""",Dutch,23,16
1991,19,Spain,Sergio Dalma,"""Bailar pegados""",Spanish,119,4
1991,20,United Kingdom,Samantha Janus,"""A Message to Your Heart""",English,47,10
1991,21,Cyprus,Elena Patroklou,"""SOS""",Greek,60,9
1991,22,Italy,Peppino di Capri,"""Comme è ddoce 'o mare""",Neapolitan,89,7
1992,1,Spain,Serafín,"""Todo esto es la música""",Spanish,37,14
1992,2,Belgium,Morgane,"""Nous, on veut des violons""",French,11,20
1992,3,Israel,Dafna,"""Ze Rak Sport"" (זה רק ספורט)",Hebrew,85,6
1992,4,Turkey,Aylin Vatankoş,"""Yaz Bitti""",Turkish,17,19
1992,5,Greece,Cleopatra,"""Olou tou kosmou i Elpida"" (Όλου του κόσμου η Ελπίδα)",Greek,94,5
1992,6,France,Kali,Monte la riviè ,"French, Antillean Creole",73,8
1992,7,Sweden,Christer Björkman,"""I morgon är en annan dag""",Swedish,9,22
1992,8,Portugal,Dina,"""Amor d'água fresca""",Portuguese,26,17
1992,9,Cyprus,Evridiki,"""Teriazoume"" (Ταιριάζουμε)",Greek,57,11
1992,10,Malta,Mary Spiteri,"""Little Child""",English,123,3
1992,11,Iceland,Heart 2 Heart,"""Nei eða já""",Icelandic,80,7
1992,12,Finland,Pave,"""Yamma, yamma""",Finnish,4,23
1992,13,Switzerland,Daisy Auvray,"""Mister Music Man""",French,32,15
1992,14,Luxembourg,Marion Welter and Kontinent,"""Sou fräi""",Luxembourgish,10,21
1992,15,Austria,Tony Wegas,"""Zusammen geh'n""",German,63,10
1992,16,United Kingdom,Michael Ball,"""One Step Out of Time""",English,139,2
1992,17,Ireland,Linda Martin,"""Why Me?""",English,155,1
1992,18,Denmark,Lotte Nilsson and Kenny Lübcke,"""Alt det som ingen ser""",Danish,47,12
1992,19,Italy,Mia Martini,"""Rapsodia""",Italian,111,4
1992,20,Yugoslavia,Extra Nena,"""Ljubim te pesmama"" (Љубим те песмама)",Serbian,44,13
1992,21,Norway,Merethe Trøan,"""Visjoner""",Norwegian,23,18
1992,22,Germany,Wind,"""Träume sind für alle da""",German,27,16
1992,23,Netherlands,Humphrey Campbell,"""Wijs me de weg""",Dutch,67,9
1993,1,Italy,Enrico Ruggeri,"""Sole d'Europa""",Italian,45,12
1993,2,Turkey,Burak Aydos,"""Esmer Yarim""",Turkish,10,21
1993,3,Germany,Münchener Freiheit,"""Viel zu weit""",German,18,18
1993,4,Switzerland,Annie Cotton,"""Moi, tout simplement""",French,148,3
1993,5,Denmark,Tommy Seebach Band,"""Under stjernerne på himlen""",Danish,9,22
1993,6,Greece,Katy Garbi,"""Ellada, hora tou fotos"" (Ελλάδα, χώρα του φωτός)",Greek,64,9
1993,7,Belgium,Barbara,"""Iemand als jij""",Dutch,3,25
1993,8,Malta,William Mangion,"""This Time""",English,69,8
1993,9,Iceland,Inga ,"""Þá veistu svarið""",Icelandic,42,13
1993,10,Austria,Tony Wegas,"""Maria Magdalena""",German,32,14
1993,11,Portugal,Anabela,"""A cidade (até ser dia)""",Portuguese,60,10
1993,12,France,Patrick Fiori,"""Mama Corsica""","French, Corsican",121,4
1993,13,Sweden,Arvingarna,"""Eloise""",Swedish,89,7
1993,14,Ireland,Niamh Kavanagh,"""In Your Eyes""",English,187,1
1993,15,Luxembourg,Modern Times,"""Donne-moi une chance""","French, Luxembourgish",11,20
1993,16,Slovenia,1X Band,"""Tih deževen dan""",Slovene,9,22
1993,17,Finland,Katri Helena,"""Tule luo""",Finnish,20,17
1993,18,Bosnia and Herzegovina,Fazla,"""Sva bol svijeta""",Bosnian,27,16
1993,19,United Kingdom,Sonia,"""Better the Devil You Know""",English,164,2
1993,20,Netherlands,Ruth Jacott,"""Vrede""",Dutch,92,6
1993,21,Croatia,Put,"""Don't Ever Cry""","Croatian, English",31,15
1993,22,Spain,Eva Santamaría,"""Hombres""",Spanish,58,11
1993,23,Cyprus,Zymboulakis and Van Beke,"""Mi stamatas"" (Μη σταματάς)",Greek,17,19
1993,24,Israel,Lehakat Shiru,"""Shiru"" (שירו)","Hebrew, English",4,24
1993,25,Norway,Silje Vige,"""Alle mine tankar""",Norwegian,120,5
1994,1,Sweden,Marie Bergman and Roger Pontare,"""Stjärnorna""",Swedish,48,13
1994,2,Finland,CatCat,"""Bye Bye Baby""",Finnish,11,22
1994,3,Ireland,Paul Harrington and Charlie McGettigan,"""Rock 'n' Roll Kids""",English,226,1
1994,4,Cyprus,Evridiki,"""Ime anthropos ki ego"" (Είμαι άνθρωπος κι εγώ)",Greek,51,11
1994,5,Iceland,Sigga,"""Nætur""",Icelandic,49,12
1994,6,United Kingdom,Frances Ruffelle,"""We Will Be Free (Lonely Symphony)""",English,63,10
1994,7,Croatia,Tony Cetinski,"""Nek' ti bude ljubav sva""",Croatian,27,16
1994,8,Portugal,Sara Tavares,"""Chamar a música""",Portuguese,73,8
1994,9,Switzerland,Duilio,"""Sto pregando""",Italian,15,19
1994,10,Estonia,Silvi Vrait,"""Nagu merelaine""",Estonian,2,24
1994,11,Romania,Dan Bittman,"""Dincolo de nori""",Romanian,14,21
1994,12,Malta,Moira Stafrace and Christopher Scicluna,"""More than Love""",English,97,5
1994,13,Netherlands,Willeke Alberti,"""Waar is de zon""",Dutch,4,23
1994,14,Germany,Mekado,"""Wir geben 'ne Party""",German,128,3
1994,15,Slovakia,Martin Ďurinda and Tublatanka,"""Nekonečná pieseň""",Slovak,15,19
1994,16,Lithuania,Ovidijus Vyšniauskas,"""Lopšinė mylimai""",Lithuanian,0,25
1994,17,Norway,Elisabeth Andreasson and Jan Werner Danielsen,"""Duett""",Norwegian,76,6
1994,18,Bosnia and Herzegovina,Alma and Dejan,"""Ostani kraj mene""",Bosnian,39,15
1994,19,Greece,Kostas Bigalis and the Sea Lovers,"""To trehandiri (Diri Diri)"" (Το τρεχαντήρι (Ντίρι Ντίρι))",Greek,44,14
1994,20,Austria,Petra Frey,"""Für den Frieden der Welt""",German,19,17
1994,21,Spain,Alejandro Abad,"""Ella no es ella""",Spanish,17,18
1994,22,Hungary,Friderika Bayer,"""Kinek mondjam el vétkeimet?""",Hungarian,122,4
1994,23,Russia,Youddiph,"""Vechny strannik"" (Вечный странник)",Russian,70,9
1994,24,Poland,Edyta Górniak,"""To nie ja!""",Polish,166,2
1994,25,France,Nina Morato,"""Je suis un vrai garçon""",French,74,7
1995,1,Poland,Justyna,"""Sama""",Polish,15,18
1995,2,Ireland,Eddie Friel,"""Dreamin'""",English,44,14
1995,3,Germany,Stone and Stone,"""Verliebt in Dich""",German,1,23
1995,4,Bosnia and Herzegovina,Davor Popović,"""Dvadeset prvi vijek""",Bosnian,14,19
1995,5,Norway,Secret Garden,"""Nocturne""",Norwegian,148,1
1995,6,Russia,Philipp Kirkorov,"""Kolybelnaya dlya vulkana"" (Колыбельная для вулкана)",Russian,17,17
1995,7,Iceland,Bo Halldórsson,"""Núna""",Icelandic,31,15
1995,8,Austria,Stella Jones,"""Die Welt dreht sich verkehrt""",German,67,13
1995,9,Spain,Anabel Conde,"""Vuelve conmigo""",Spanish,119,2
1995,10,Turkey,Arzu Ece,"""Sev!""",Turkish,21,16
1995,11,Croatia,Magazin and Lidija,"""Nostalgija""",Croatian,91,6
1995,12,France,Nathalie Santamaria,"""Il me donne rendez-vous""",French,94,4
1995,13,Hungary,Csaba Szigeti,"""Új név egy régi ház falán""",Hungarian,3,22
1995,14,Belgium,Frédéric Etherlinck,"""La voix est libre""",French,8,20
1995,15,United Kingdom,Love City Groove,"""Love City Groove""",English,76,10
1995,16,Portugal,Tó Cruz,"""Baunilha e chocolate""",Portuguese,5,21
1995,17,Cyprus,Alexandros Panayi,"""Sti fotia"" (Στη φωτιά)",Greek,79,9
1995,18,Sweden,Jan Johansen,"""Se på mej""",Swedish,100,3
1995,19,Denmark,Aud Wilken,"""Fra Mols til Skagen""",Danish,92,5
1995,20,Slovenia,Darja Švajger,"""Prisluhni mi""",Slovene,84,7
1995,21,Israel,Liora,"""Amen"" (אמן)",Hebrew,81,8
1995,22,Malta,Mike Spiteri,"""Keep Me in Mind""",English,76,10
1995,23,Greece,Elina Konstantopoulou,"""Pia prosefhi"" (Ποιά προσευχή)",Greek,68,12
1996,1,Austria,George Nussbaumer,"""Weil's dr guat got""",Vorarlbergish,80,6
1996,2,Bosnia and Herzegovina,Amila Glamočak,"""Za našu ljubav""",Bosnian,29,21
1996,3,Belgium,Lisa del Bo,"""Liefde is een kaartspel""",Dutch,45,12
1996,4,Switzerland,Kathy Leander,"""Mon cœur l'aime""",French,67,8
1996,5,Cyprus,Constantinos,"""Mono gia mas"" (Μόνο για μας)",Greek,42,15
1996,6,Germany,Leon,"""Planet of Blue""",German,24,24
1996,7,Denmark,Dorthe Andersen and Martin Loft,"""Kun med dig""",Danish,22,25
1996,8,Estonia,Maarja-Liis Ilus and Ivo Linna,"""Kaelakee hääl""",Estonian,106,5
1996,9,Spain,Antonio Carbonell,"""¡Ay, qué deseo!""",Spanish,43,14
1996,10,Finland,Jasmine,"""Niin kaunis on taivas""",Finnish,26,22
1996,11,France,Dan Ar Braz and l'Héritage des Celtes,"""Diwanit bugale""",Breton,55,11
1996,12,United Kingdom,Gina G,"""Ooh Aah... Just a Little Bit""",English,153,3
1996,13,Greece,Marianna Efstratiou,"""Emis forame to himona anixiatika""(Εμείς φοράμε το χειμώνα ανοιξιάτικα)",Greek,45,12
1996,14,Croatia,Maja Blagdan,"""Sveta ljubav""",Croatian,30,19
1996,15,Hungary,Gjon Delhusa,"""Fortuna""",Hungarian,26,23
1996,16,Ireland,Eimear Quinn,"""The Voice""",English,198,2
1996,17,Israel,Galit Bell,"""Shalom Olam"" (שלום עולם)",Hebrew,12,28
1996,18,Iceland,Anna Mjöll,"""Sjúbídú""",Icelandic,59,10
1996,19,Macedonia,Kaliopi,"""Samo ti"" (Само ти)",Macedonian,14,26
1996,20,Malta,Miriam Christine,"""In a Woman's Heart""",English,138,4
1996,21,Netherlands,Maxine and Franklin Brown,"""De eerste keer""",Dutch,63,9
1996,22,Poland,Kasia Kowalska,"""Chcę znać swój grzech...""",Polish,42,15
1996,23,Portugal,Lúcia Moniz,"""O meu coração não tem cor""",Portuguese,32,18
1996,24,Romania,Monica Anghel and Sincron,"""Rugă pentru pacea lumii""",Romanian,11,29
1996,25,Russia,Andrey Kosinskiy,"""Ya eto ya"" (Я это я)",Russian,14,26
1996,26,Sweden,One More Time,"""Den vilda""",Swedish,227,1
1996,27,Slovenia,Regina,"""Dan najlepših sanj""",Slovene,30,19
1996,28,Slovakia,Marcel Palonder,"""Kým nás máš""",Slovak,38,17
1996,29,Turkey,Şebnem Paker,"""Beşinci Mevsim""",Turkish,69,7
1997,1,Cyprus,Hara and Andreas Konstantinou,"""Mana mou"" (Μάνα μου)",Greek,98,5
1997,2,Turkey,Şebnem Paker and Grup Ethnic,"""Dinle""",Turkish,121,3
1997,3,Norway,Tor Endresen,"""San Francisco""",Norwegian,0,24
1997,4,Austria,Bettina Soriat,"""One Step""",German,12,21
1997,5,Ireland,Marc Roberts,"""Mysterious Woman""",English,157,2
1997,6,Slovenia,Tanja Ribič,"""Zbudi se""",Slovene,60,10
1997,7,Switzerland,Barbara Berta,"""Dentro di me""",Italian,5,22
1997,8,Netherlands,Mrs. Einstein,"""Niemand heeft nog tijd""",Dutch,5,22
1997,9,Italy,Jalisse,"""Fiumi di parole""",Italian,114,4
1997,10,Spain,Marcos Llunas,"""Sin rencor""",Spanish,96,6
1997,11,Germany,Bianca Shomburg,"""Zeit""",German,22,18
1997,12,Poland,Anna Maria Jopek,"""Ale jestem""",Polish,54,11
1997,13,Estonia,Maarja-Liis Ilus,"""Keelatud maa""",Estonian,82,8
1997,14,Bosnia and Herzegovina,Alma Čardžić,"""Goodbye""",Bosnian,22,18
1997,15,Portugal,Célia Lawson,"""Antes do adeus""",Portuguese,0,24
1997,16,Sweden,Blond,"""Bara hon älskar mig""",Swedish,36,14
1997,17,Greece,Marianna Zorba,"""Horepse"" (Χόρεψε)",Greek,39,12
1997,18,Malta,Debbie Scerri,"""Let Me Fly""",English,66,9
1997,19,Hungary,V.I.P.,"""Miért kell, hogy elmenj?""",Hungarian,39,12
1997,20,Russia,Alla Pugacheva,"""Primadonna"" (Примадонна)",Russian,33,15
1997,21,Denmark,Kølig Kaj,"""Stemmen i mit liv""",Danish,25,16
1997,22,France,Fanny,"""Sentiments songes""",French,95,7
1997,23,Croatia,E.N.I.,"""Probudi me""",Croatian,24,17
1997,24,United Kingdom,Katrina and the Waves,"""Love Shine a Light""",English,227,1
1997,25,Iceland,Paul Oscar,"""Minn hinsti dans""",Icelandic,18,20
1998,1,Croatia,Danijela,"""Neka mi ne svane""",Croatian,131,5
1998,2,Greece,Thalassa,"""Mia krifi evaisthisia"" (Μια κρυφή ευαισθησία)",Greek,12,20
1998,3,France,Marie Line,"""Où aller""",French,3,24
1998,4,Spain,Mikel Herzog,"""¿Qué voy a hacer sin ti?""",Spanish,21,16
1998,5,Switzerland,Gunvor,"""Lass ihn""",German,0,25
1998,6,Slovakia,Katarína Hasprová,"""Modlitba""",Slovak,8,21
1998,7,Poland,Sixteen,"""To takie proste""",Polish,19,17
1998,8,Israel,Dana International,"""Diva"" (דיווה)",Hebrew,172,1
1998,9,Germany,Guildo Horn,"""Guildo hat euch lieb!""",German,86,7
1998,10,Malta,Chiara,"""The One That I Love""",English,165,3
1998,11,Hungary,Charlie,"""A holnap már nem lesz szomorú""",Hungarian,4,23
1998,12,Slovenia,Vili Resnik,"""Naj bogovi slišijo""",Slovene,17,18
1998,13,Ireland,Dawn Martin,"""Is Always Over Now?""",English,64,9
1998,14,Portugal,Alma Lusa,"""Se eu te pudesse abraçar""",Portuguese,36,12
1998,15,Romania,Mălina Olinescu,"""Eu cred""",Romanian,6,22
1998,16,United Kingdom,Imaani,"""Where Are You?""",English,166,2
1998,17,Cyprus,Michael Hajiyanni,"""Genesis"" (Γένεσις)",Greek,37,11
1998,18,Netherlands,Edsilia,"""Hemel en aarde""",Dutch,150,4
1998,19,Sweden,Jill Johnson,"""Kärleken är""",Swedish,53,10
1998,20,Belgium,Mélanie Cohl,"""Dis oui""",French,122,6
1998,21,Finland,Edea,"""Aava""",Finnish,22,15
1998,22,Norway,Lars A. Fredriksen,"""Alltid sommer""",Norwegian,79,8
1998,23,Estonia,Koit Toome,"""Mere lapsed""",Estonian,36,12
1998,24,Turkey,Tüzmen,"""Unutamazsın""",Turkish,25,14
1998,25,Macedonia,Vlado Janevski,"""Ne zori, zoro"" (Не зори, зоро)",Macedonian,16,19
1999,1,Lithuania,Aistė,"""Strazdas""",Samogitian,13,20
1999,2,Belgium,Vanessa Chinitor,"""Like the Wind""",English,38,12
1999,3,Spain,Lydia,"""No quiero escuchar""",Spanish,1,23
1999,4,Croatia,Doris Dragović,"""Marija Magdalena""",Croatian,118,4
1999,5,United Kingdom,Precious,"""Say It Again""",English,38,12
1999,6,Slovenia,Darja Švajger,"""For a Thousand Years""",English,50,11
1999,7,Turkey,Tuba Önal and Grup Mistik,"""Dön Artık""",Turkish,21,16
1999,8,Norway,Stig Van Eijk,"""Living My Life Without You""",English,35,14
1999,9,Denmark,Trine Jepsen and Michael Teschl,"""This Time I Mean It""",English,71,8
1999,10,France,Nayah,"""Je veux donner ma voix""",French,14,19
1999,11,Netherlands,Marlayne,"""One Good Reason""",English,71,8
1999,12,Poland,Mietek Szcześniak,"""Przytul mnie mocno""",Polish,17,18
1999,13,Iceland,Selma,"""All Out of Luck""",English,146,2
1999,14,Cyprus,Marlain,"""Tha'nai erotas"" (Θα'ναι έρωτας)",Greek,2,22
1999,15,Sweden,Charlotte Nilsson,"""Take Me to Your Heaven""",English,163,1
1999,16,Portugal,Rui Bandeira,"""Como tudo começou""",Portuguese,12,21
1999,17,Ireland,The Mullans,"""When You Need Me""",English,18,17
1999,18,Austria,Bobbie Singer,"""Reflection""",English,65,10
1999,19,Israel,Eden,"""Yom Huledet (Happy Birthday)"" (יום הולדת)","English, Hebrew",93,5
1999,20,Malta,Times Three,"""Believe 'n Peace""",English,32,15
1999,21,Germany,Sürpriz,"""Reise nach Jerusalem – Kudüs'e Seyahat""","German, Turkish, English",140,3
1999,22,Bosnia and Herzegovina,Dino and Béatrice,"""Putnici""","Bosnian, French",86,7
1999,23,Estonia,Evelin Samuel and Camille,"""Diamond of Night""",English,90,6
2000,1,Israel,PingPong,"""Sameach"" (שמח)",Hebrew,7,22
2000,2,Netherlands,Linda Wagenmakers,"""No Goodbyes""",English,40,13
2000,3,United Kingdom,Nicki French,"""Don't Play That Song Again""",English,28,16
2000,4,Estonia,Ines,"""Once in a Lifetime""",English,98,4
2000,5,France,Sofia Mestari,"""On aura le ciel""",French,5,23
2000,6,Romania,Taxi,"""The Moon""",English,25,17
2000,7,Malta,Claudette Pace,"""Desire""",English,73,8
2000,8,Norway,Charmed,"""My Heart Goes Boom""",English,57,11
2000,9,Russia,Alsou,"""Solo""",English,155,2
2000,10,Belgium,Nathalie Sorce,"""Envie de vivre""",French,2,24
2000,11,Cyprus,Voice,"""Nomiza"" (Νόμιζα)","Greek, Italian",8,21
2000,12,Iceland,August and Telma,"""Tell Me!""",English,45,12
2000,13,Spain,Serafín Zubiri,"""Colgado de un sueño""",Spanish,18,18
2000,14,Denmark,Olsen Brothers,"""Fly on the Wings of Love""",English,195,1
2000,15,Germany,Stefan Raab,"""Wadde hadde dudde da?""","German, English",96,5
2000,16,Switzerland,Jane Bogaert,"""La vita cos'è?""",Italian,14,20
2000,17,Croatia,Goran Karan,"""Kad zaspu anđeli""",Croatian,70,9
2000,18,Sweden,Roger Pontare,"""When Spirits Are Calling My Name""",English,88,7
2000,19,Macedonia,XXL,"""100% te ljubam"" (100% те љубам)","Macedonian, English",29,15
2000,20,Finland,Nina Åström,"""A Little Bit""",English,18,18
2000,21,Latvia,Brainstorm,"""My Star""",English,136,3
2000,22,Turkey,Pınar Ayhan and the SOS,"""Yorgunum Anla""","Turkish, English",59,10
2000,23,Ireland,Eamonn Toal,"""Millennium of Love""",English,92,6
2000,24,Austria,The Rounder Girls,"""All to You""",English,34,14
2001,1,Netherlands,Michelle,"""Out on My Own""",English,16,18
2001,2,Iceland,Two Tricky,"""Angel""",English,3,22
2001,3,Bosnia and Herzegovina,Nino,"""Hano""","Bosnian, English",29,14
2001,4,Norway,Haldor Lægreid,"""On My Own""",English,3,22
2001,5,Israel,Tal Sondak,"""Ein Davar"" (אין דבר)",Hebrew,25,16
2001,6,Russia,Mumiy Troll,"""Lady Alpine Blue""",English,37,12
2001,7,Sweden,Friends,"""Listen to Your Heartbeat""",English,100,5
2001,8,Lithuania,Skamp,"""You Got Style""","English, Lithuanian",35,13
2001,9,Latvia,Arnis Mednis,"""Too Much""",English,16,18
2001,10,Croatia,Vanna,"""Strings of My Heart""",English,42,10
2001,11,Portugal,MTM,"""Só sei ser feliz assim""",Portuguese,18,17
2001,12,Ireland,Gary O'Shaughnessy,"""Without Your Love""",English,6,21
2001,13,Spain,David Civera,"""Dile que la quiero""",Spanish,76,6
2001,14,France,Natasha St-Pier,"""Je n'ai que mon âme""","French, English",142,4
2001,15,Turkey,Sedat Yüce,"""Sevgiliye Son""","Turkish, English",41,11
2001,16,United Kingdom,Lindsay Dracass,"""No Dream Impossible""",English,28,15
2001,17,Slovenia,Nuša Derenda,"""Energy""",English,70,7
2001,18,Poland,Piasek,"""2 Long""",English,11,20
2001,19,Germany,Michelle,"""Wer Liebe lebt""","German, English",66,8
2001,20,Estonia,"Tanel Padar, Dave Benton and 2XL","""Everybody""",English,198,1
2001,21,Malta,Fabrizio Faniello,"""Another Summer Night""",English,48,9
2001,22,Greece,Antique,"""Die for You""","Greek, English",147,3
2001,23,Denmark,Rollo and King,"""Never Ever Let You Go""",English,177,2
2002,1,Cyprus,One,"""Gimme""",English,85,6
2002,2,United Kingdom,Jessica Garlick,"""Come Back""",English,111,3
2002,3,Austria,Manuel Ortega,"""Say a Word""",English,26,18
2002,4,Greece,Michalis Rakintzis,"""S.A.G.A.P.O.""",English,27,17
2002,5,Spain,Rosa,"""Europe's Living a Celebration""",Spanish,81,7
2002,6,Croatia,Vesna Pisarović,"""Everything I Want""",English,44,11
2002,7,Russia,Prime Minister,"""Northern Girl""",English,55,10
2002,8,Estonia,Sahlene,"""Runaway""",English,111,3
2002,9,Macedonia,Karolina,"""Od nas zavisi"" (Од нас зависи)",Macedonian,25,19
2002,10,Israel,Sarit Hadad,"""Light a Candle""","Hebrew, English",37,12
2002,11,Switzerland,Francine Jordi,"""Dans le jardin de mon âme""",French,15,22
2002,12,Sweden,Afro-dite,"""Never Let It Go""",English,72,8
2002,13,Finland,Laura,"""Addicted to You""",English,24,20
2002,14,Denmark,Malene,"""Tell Me Who You Are""",English,7,24
2002,15,Bosnia and Herzegovina,Maja,"""Na jastuku za dvoje"" (На јастуку за двоје)","Serbian, English",33,13
2002,16,Belgium,Sergio and the Ladies,"""Sister""",English,33,13
2002,17,France,Sandrine François,"""Il faut du temps""",French,104,5
2002,18,Germany,Corinna May,"""I Can't Live Without Music""",English,17,21
2002,19,Turkey,Buket Bengisu and Group Safir,"""Leylaklar Soldu Kalbinde""","Turkish, English",29,16
2002,20,Malta,Ira Losco,"""7th Wonder""",English,164,2
2002,21,Romania,Monica Anghel and Marcel Pavel,"""Tell Me Why""",English,71,9
